CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Location 1,Total Incidents
11/12/2016,02:35:00,3B,300 SAINT PAUL PL,ROBBERY - STREET,O,,111,CENTRAL,Downtown,"(39.2924100000, -76.6140800000)",1
11/12/2016,02:56:00,3CF,800 S BROADWAY,ROBBERY - COMMERCIAL,I,FIREARM,213,SOUTHEASTERN,Fells Point,"(39.2824200000, -76.5928800000)",1
11/12/2016,03:00:00,6D,1500 PENTWOOD RD,LARCENY FROM AUTO,O,,413,NORTHEASTERN,Stonewood-Pentwood-Winston,"(39.3480500000, -76.5883400000)",1
11/12/2016,03:00:00,6D,6600 MILTON LN,LARCENY FROM AUTO,O,,424,NORTHEASTERN,Westfield,"(39.3626300000, -76.5516100000)",1
11/12/2016,03:00:00,6E,300 W BALTIMORE ST,LARCENY,O,,111,CENTRAL,Downtown,"(39.2893800000, -76.6197100000)",1
11/12/2016,03:00:00,4E,6900 MCCLEAN BLVD,COMMON ASSAULT,I,HANDS,423,NORTHEASTERN,Hamilton Hills,"(39.3707000000, -76.5670900000)",1
11/12/2016,03:45:00,3CO,1700 W LOMBARD ST,ROBBERY - COMMERCIAL,O,OTHER,933,SOUTHERN,Union Square,"(39.2862400000, -76.6445500000)",1
11/12/2016,04:27:00,6D,0 N CONKLING ST,LARCENY FROM AUTO,O,,223,SOUTHEASTERN,Baltimore Highlands,"(39.2959100000, -76.5677700000)",1
11/12/2016,05:00:00,3BJ,5200 MAYVIEW AVE,ROBBERY - CARJACKING,O,,443,NORTHEASTERN,Frankford,"(39.3317700000, -76.5487300000)",1
11/12/2016,08:00:00,4E,1200 LAURENS ST,COMMON ASSAULT,I,HANDS,743,WESTERN,Sandtown-Winchester,"(39.3034000000, -76.6384200000)",1
11/12/2016,09:00:00,6D,700 POPLAR GROVE ST,LARCENY FROM AUTO,O,,814,SOUTHWESTERN,Franklintown Road,"(39.2966200000, -76.6650800000)",1
11/12/2016,09:40:00,4E,1600 N HILTON ST,COMMON ASSAULT,I,HANDS,813,SOUTHWESTERN,Rosemont,"(39.3058700000, -76.6721600000)",1
